date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-22,59.15,59.42,57.49,58.8,8686148,59.15,59.42,57.49,58.8,8686148,0.0,1.0,BKR,tiingo
2026-06-23,58.68,59.34,58.22,58.63,6471462,58.68,59.34,58.22,58.63,6471462,0.0,1.0,BKR,tiingo
2026-06-24,56.38,57.465,55.56,57.18,12636066,56.38,57.465,55.56,57.18,12636066,0.0,1.0,BKR,tiingo
2026-06-25,56.94,57.805,55.685,55.995,10583446,56.94,57.805,55.685,55.995,10583446,0.0,1.0,BKR,tiingo
2026-06-26,56.56,56.97,56.0152,56.25,8969106,56.56,56.97,56.0152,56.25,8969106,0.0,1.0,BKR,tiingo
2026-06-29,56.31,57.485,56.09,56.162,5859754,56.31,57.485,56.09,56.162,5859754,0.0,1.0,BKR,tiingo
2026-06-30,55.5,57.38,55.39,56.54,14469759,55.5,57.38,55.39,56.54,14469759,0.0,1.0,BKR,tiingo
2026-07-01,53.82,55.35,53.69,55.05,9490741,53.82,55.35,53.69,55.05,9490741,0.0,1.0,BKR,tiingo
2026-07-02,52.78,54.35,52.27,53.88,12191791,52.78,54.35,52.27,53.88,12191791,0.0,1.0,BKR,tiingo
2026-07-06,53.25,54.38,53.0,53.238,15986189,53.25,54.38,53.0,53.238,15986189,0.0,1.0,BKR,tiingo
