date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-22,125.54,128.77,124.05,125.265,3727360,125.54,128.77,124.05,125.265,3727360,0.0,1.0,CHTR,tiingo
2026-06-23,131.75,132.07,124.8,126.15,2972110,131.75,132.07,124.8,126.15,2972110,0.0,1.0,CHTR,tiingo
2026-06-24,131.42,133.42,128.975,132.5,2514483,131.42,133.42,128.975,132.5,2514483,0.0,1.0,CHTR,tiingo
2026-06-25,129.65,132.25,129.33,130.87,2113413,129.65,132.25,129.33,130.87,2113413,0.0,1.0,CHTR,tiingo
2026-06-26,133.64,136.86,130.37,130.37,2605353,133.64,136.86,130.37,130.37,2605353,0.0,1.0,CHTR,tiingo
2026-06-29,146.17,168.11,143.32,168.11,12660968,146.17,168.11,143.32,168.11,12660968,0.0,1.0,CHTR,tiingo
2026-06-30,142.21,145.0544,138.83,144.47,4875988,142.21,145.0544,138.83,144.47,4875988,0.0,1.0,CHTR,tiingo
2026-07-01,139.84,145.55,139.65,144.09,2225858,139.84,145.55,139.65,144.09,2225858,0.0,1.0,CHTR,tiingo
2026-07-02,137.2,142.0,132.36,140.67,3123869,137.2,142.0,132.36,140.67,3123869,0.0,1.0,CHTR,tiingo
2026-07-06,135.44,138.51,132.62,137.84,2504805,135.44,138.51,132.62,137.84,2504805,0.0,1.0,CHTR,tiingo
