date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-22,41.83,44.57,40.77,43.0084,21961036,41.83,44.57,40.77,43.0084,21961036,0.0,1.0,CTSH,tiingo
2026-06-23,40.95,42.7,40.895,42.37,24430412,40.95,42.7,40.895,42.37,24430412,0.0,1.0,CTSH,tiingo
2026-06-24,41.44,42.78,40.96,40.96,17415765,41.44,42.78,40.96,40.96,17415765,0.0,1.0,CTSH,tiingo
2026-06-25,39.15,41.61,38.97,41.2,15259985,39.15,41.61,38.97,41.2,15259985,0.0,1.0,CTSH,tiingo
2026-06-26,40.03,40.63,39.11,39.21,14052464,40.03,40.63,39.11,39.21,14052464,0.0,1.0,CTSH,tiingo
2026-06-29,38.74,41.03,38.68,40.615,10242661,38.74,41.03,38.68,40.615,10242661,0.0,1.0,CTSH,tiingo
2026-06-30,38.73,39.01,37.08,38.37,10245180,38.73,39.01,37.08,38.37,10245180,0.0,1.0,CTSH,tiingo
2026-07-01,41.07,41.71,39.29,39.698,12060739,41.07,41.71,39.29,39.698,12060739,0.0,1.0,CTSH,tiingo
2026-07-02,41.99,42.59,41.41,41.7,9507345,41.99,42.59,41.41,41.7,9507345,0.0,1.0,CTSH,tiingo
2026-07-06,41.37,42.31,40.9022,41.52,9973360,41.37,42.31,40.9022,41.52,9973360,0.0,1.0,CTSH,tiingo
