date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-22,70.76,70.805,69.02,69.27,1558483,70.76,70.805,69.02,69.27,1558483,0.0,1.0,FER,tiingo
2026-06-23,70.01,70.48,69.43,69.75,1673393,70.01,70.48,69.43,69.75,1673393,0.0,1.0,FER,tiingo
2026-06-24,69.53,70.27,69.19,69.4,1893221,69.53,70.27,69.19,69.4,1893221,0.0,1.0,FER,tiingo
2026-06-25,70.2,70.94,69.82,70.63,1437671,70.2,70.94,69.82,70.63,1437671,0.0,1.0,FER,tiingo
2026-06-26,68.36,69.68,68.23,69.65,1965052,68.36,69.68,68.23,69.65,1965052,0.0,1.0,FER,tiingo
2026-06-29,68.39,68.85,68.085,68.655,1388958,68.39,68.85,68.085,68.655,1388958,0.0,1.0,FER,tiingo
2026-06-30,68.61,68.9,68.22,68.53,1321281,68.61,68.9,68.22,68.53,1321281,0.0,1.0,FER,tiingo
2026-07-01,67.26,67.86,66.99,67.75,1751810,67.26,67.86,66.99,67.75,1751810,0.0,1.0,FER,tiingo
2026-07-02,67.72,69.065,67.54,68.145,1596780,67.72,69.065,67.54,68.145,1596780,0.0,1.0,FER,tiingo
2026-07-06,68.22,68.24,67.525,67.77,1744490,68.22,68.24,67.525,67.77,1744490,0.0,1.0,FER,tiingo
