date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-22,349.68,358.92,341.7219,357.945,52814764,349.68,358.92,341.7219,357.945,52814764,0.0,1.0,GOOGL,tiingo
2026-06-23,346.13,349.29,340.2,340.69,34007652,346.13,349.29,340.2,340.69,34007652,0.0,1.0,GOOGL,tiingo
2026-06-24,345.29,353.476,341.93,349.035,44997277,345.29,353.476,341.93,349.035,44997277,0.0,1.0,GOOGL,tiingo
2026-06-25,343.71,345.57,335.84,336.73,44564576,343.71,345.57,335.84,336.73,44564576,0.0,1.0,GOOGL,tiingo
2026-06-26,337.39,346.36,330.2,342.55,114706326,337.39,346.36,330.2,342.55,114706326,0.0,1.0,GOOGL,tiingo
2026-06-29,353.65,354.35,340.67,341.825,34213932,353.65,354.35,340.67,341.825,34213932,0.0,1.0,GOOGL,tiingo
2026-06-30,357.37,358.62,350.4,353.865,35237231,357.37,358.62,350.4,353.865,35237231,0.0,1.0,GOOGL,tiingo
2026-07-01,361.21,362.97,356.43,358.37,26736445,361.21,362.97,356.43,358.37,26736445,0.0,1.0,GOOGL,tiingo
2026-07-02,359.91,364.205,353.42,359.48,25999346,359.91,364.205,353.42,359.48,25999346,0.0,1.0,GOOGL,tiingo
2026-07-06,366.46,367.93,357.3805,361.55,26915808,366.46,367.93,357.3805,361.55,26915808,0.0,1.0,GOOGL,tiingo
