date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-06,1805.68,1812.0,1756.326,1764.13,329440,1805.68,1812.0,1756.326,1764.13,329440,0.0,1.0,MELI,tiingo
2026-07-07,1813.61,1836.09,1793.46,1828.025,287909,1813.61,1836.09,1793.46,1828.025,287909,0.0,1.0,MELI,tiingo
2026-07-08,1809.38,1815.36,1764.68,1800.295,275218,1809.38,1815.36,1764.68,1800.295,275218,0.0,1.0,MELI,tiingo
2026-07-09,1807.83,1809.38,1760.9,1777.19,385716,1807.83,1809.38,1760.9,1777.19,385716,0.0,1.0,MELI,tiingo
2026-07-10,1852.22,1884.06,1810.0001,1823.74,406437,1852.22,1884.06,1810.0001,1823.74,406437,0.0,1.0,MELI,tiingo
2026-07-13,1867.3,1897.26,1855.0,1856.64,484012,1867.3,1897.26,1855.0,1856.64,484012,0.0,1.0,MELI,tiingo
2026-07-14,1873.88,1896.0,1842.037,1851.39,411092,1873.88,1896.0,1842.037,1851.39,411092,0.0,1.0,MELI,tiingo
2026-07-15,1843.19,1905.49,1819.67,1873.0,508220,1843.19,1905.49,1819.67,1873.0,508220,0.0,1.0,MELI,tiingo
2026-07-16,1857.42,1883.36,1840.0,1862.82,344883,1857.42,1883.36,1840.0,1862.82,344883,0.0,1.0,MELI,tiingo
2026-07-17,1813.91,1833.26,1789.0,1827.13,313645,1813.91,1833.26,1789.0,1827.13,313645,0.0,1.0,MELI,tiingo
