date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-06,105.39,106.84,104.65,106.275,2630463,105.39,106.84,104.65,106.275,2630463,0.0,1.0,PAYX,tiingo
2026-07-07,108.12,109.73,107.46,107.46,2883851,108.12,109.73,107.46,107.46,2883851,0.0,1.0,PAYX,tiingo
2026-07-08,106.58,108.12,105.855,108.07,2524608,106.58,108.12,105.855,108.07,2524608,0.0,1.0,PAYX,tiingo
2026-07-09,106.26,106.9,103.74,104.62,3575447,106.26,106.9,103.74,104.62,3575447,0.0,1.0,PAYX,tiingo
2026-07-10,107.54,107.86,106.49,107.46,2179681,107.54,107.86,106.49,107.46,2179681,0.0,1.0,PAYX,tiingo
2026-07-13,110.75,111.64,108.7425,108.91,2352578,110.75,111.64,108.7425,108.91,2352578,0.0,1.0,PAYX,tiingo
2026-07-14,109.52,110.52,107.49,107.99,2489772,109.52,110.52,107.49,107.99,2489772,0.0,1.0,PAYX,tiingo
2026-07-15,110.0,112.34,109.43,109.77,2475026,110.0,112.34,109.43,109.77,2475026,0.0,1.0,PAYX,tiingo
2026-07-16,114.7,115.24,111.47,111.47,3597025,114.7,115.24,111.47,111.47,3597025,0.0,1.0,PAYX,tiingo
2026-07-17,114.39,117.72,112.5,115.13,4269154,114.39,117.72,112.5,115.13,4269154,0.0,1.0,PAYX,tiingo
