date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-06,211.36,214.17,209.0,214.015,3323749,211.36,214.17,209.0,214.015,3323749,0.0,1.0,ROST,tiingo
2026-07-07,214.67,218.41,212.915,214.44,2805729,214.67,218.41,212.915,214.44,2805729,0.0,1.0,ROST,tiingo
2026-07-08,217.72,218.95,213.26,215.04,2369203,217.72,218.95,213.26,215.04,2369203,0.0,1.0,ROST,tiingo
2026-07-09,220.6,222.12,218.0,218.45,3060703,220.6,222.12,218.0,218.45,3060703,0.0,1.0,ROST,tiingo
2026-07-10,222.88,223.7,220.6,220.76,2278970,222.88,223.7,220.6,220.76,2278970,0.0,1.0,ROST,tiingo
2026-07-13,219.46,225.92,218.59,224.77,2303526,219.46,225.92,218.59,224.77,2303526,0.0,1.0,ROST,tiingo
2026-07-14,220.93,221.25,218.065,219.04,1661763,220.93,221.25,218.065,219.04,1661763,0.0,1.0,ROST,tiingo
2026-07-15,225.81,227.77,219.19,220.66,2169287,225.81,227.77,219.19,220.66,2169287,0.0,1.0,ROST,tiingo
2026-07-16,232.72,233.73,226.71,226.71,2247968,232.72,233.73,226.71,226.71,2247968,0.0,1.0,ROST,tiingo
2026-07-17,233.46,237.06,231.76,231.92,2027959,233.46,237.06,231.76,231.92,2027959,0.0,1.0,ROST,tiingo
