date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-06,868.26,886.89,848.0,863.62,3461354,868.26,886.89,848.0,863.62,3461354,0.0,1.0,STX,tiingo
2026-07-07,827.64,837.75,786.01,821.29,4145955,827.64,837.75,786.01,821.29,4145955,0.0,1.0,STX,tiingo
2026-07-08,860.02,862.41,811.27,811.27,4935920,860.02,862.41,811.27,811.27,4935920,0.0,1.0,STX,tiingo
2026-07-09,890.09,937.54,888.17,922.285,4556484,890.09,937.54,888.17,922.285,4556484,0.0,1.0,STX,tiingo
2026-07-10,910.34,927.2799,861.63,861.63,4051284,910.34,927.2799,861.63,861.63,4051284,0.0,1.0,STX,tiingo
2026-07-13,860.66,877.73,840.01,869.6,4143428,860.66,877.73,840.01,869.6,4143428,0.0,1.0,STX,tiingo
2026-07-14,878.31,906.3,868.93,901.135,3771510,878.31,906.3,868.93,901.135,3771510,0.0,1.0,STX,tiingo
2026-07-15,828.3,893.0,788.97,889.02,4730793,828.3,893.0,788.97,889.02,4730793,0.0,1.0,STX,tiingo
2026-07-16,745.49,798.96,739.47,785.11,6220264,745.49,798.96,739.47,785.11,6220264,0.0,1.0,STX,tiingo
2026-07-17,787.66,808.65,700.39,720.94,7013109,787.66,808.65,700.39,720.94,7013109,0.0,1.0,STX,tiingo
