date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-06,258.41,258.51,252.64,252.99,1898371,258.41,258.51,252.64,252.99,1898371,0.0,1.0,TTWO,tiingo
2026-07-07,257.79,265.94,256.86,263.08,2058908,257.79,265.94,256.86,263.08,2058908,0.0,1.0,TTWO,tiingo
2026-07-08,251.38,259.99,250.92,256.94,1543914,251.38,259.99,250.92,256.94,1543914,0.0,1.0,TTWO,tiingo
2026-07-09,246.1,253.8625,244.295,251.65,2375721,246.1,253.8625,244.295,251.65,2375721,0.0,1.0,TTWO,tiingo
2026-07-10,243.2,249.0,242.25,247.37,2249088,243.2,249.0,242.25,247.37,2249088,0.0,1.0,TTWO,tiingo
2026-07-13,244.095,246.6983,242.975,242.975,1252251,244.095,246.6983,242.975,242.975,1252251,0.0,1.0,TTWO,tiingo
2026-07-14,237.04,241.8575,236.24,237.19,1461505,237.04,241.8575,236.24,237.19,1461505,0.0,1.0,TTWO,tiingo
2026-07-15,243.8,246.19,237.25,237.49,1630213,243.8,246.19,237.25,237.49,1630213,0.0,1.0,TTWO,tiingo
2026-07-16,239.57,243.5,238.0,243.0,1558406,239.57,243.5,238.0,243.0,1558406,0.0,1.0,TTWO,tiingo
2026-07-17,236.68,239.245,232.5,235.64,2360987,236.68,239.245,232.5,235.64,2360987,0.0,1.0,TTWO,tiingo
