date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-07,370.78,372.9599,362.01,366.555,24116688,370.78,372.9599,362.01,366.555,24116688,0.0,1.0,AVGO,tiingo
2026-07-08,388.69,395.09,376.89,377.52,31624070,388.69,395.09,376.89,377.52,31624070,0.0,1.0,AVGO,tiingo
2026-07-09,401.11,407.52,387.93,402.19,28073957,401.11,407.52,387.93,402.19,28073957,0.0,1.0,AVGO,tiingo
2026-07-10,399.97,402.44,395.7,398.5,14595928,399.97,402.44,395.7,398.5,14595928,0.0,1.0,AVGO,tiingo
2026-07-13,384.05,395.745,383.42,393.475,21294509,384.05,395.745,383.42,393.475,21294509,0.0,1.0,AVGO,tiingo
2026-07-14,389.11,397.33,384.6404,395.72,20118722,389.11,397.33,384.6404,395.72,20118722,0.0,1.0,AVGO,tiingo
2026-07-15,394.28,399.0,386.74,396.09,16324127,394.28,399.0,386.74,396.09,16324127,0.0,1.0,AVGO,tiingo
2026-07-16,374.45,386.74,371.9,384.535,23407244,374.45,386.74,371.9,384.535,23407244,0.0,1.0,AVGO,tiingo
2026-07-17,370.825,377.35,357.8,366.045,23272208,370.825,377.35,357.8,366.045,23272208,0.0,1.0,AVGO,tiingo
2026-07-20,378.16,383.59,375.96,378.76,14420450,378.16,383.59,375.96,378.76,14420450,0.0,1.0,AVGO,tiingo
