date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-07,181.95,188.31,180.9,184.8,5369491,181.95,188.31,180.9,184.8,5369491,0.0,1.0,BKNG,tiingo
2026-07-08,174.29,179.88,172.75,179.39,5003406,174.29,179.88,172.75,179.39,5003406,0.0,1.0,BKNG,tiingo
2026-07-09,175.52,175.65,170.31,172.275,4613005,175.52,175.65,170.31,172.275,4613005,0.0,1.0,BKNG,tiingo
2026-07-10,178.39,180.04,175.83,175.83,3975445,178.39,180.04,175.83,175.83,3975445,0.0,1.0,BKNG,tiingo
2026-07-13,175.8,180.64,174.51,178.475,5079902,175.8,180.64,174.51,178.475,5079902,0.0,1.0,BKNG,tiingo
2026-07-14,174.85,176.875,171.165,171.165,5409847,174.85,176.875,171.165,171.165,5409847,0.0,1.0,BKNG,tiingo
2026-07-15,182.8,183.14,175.2,175.3,6800522,182.8,183.14,175.2,175.3,6800522,0.0,1.0,BKNG,tiingo
2026-07-16,184.61,185.92,179.99,184.55,5879986,184.61,185.92,179.99,184.55,5879986,0.0,1.0,BKNG,tiingo
2026-07-17,181.68,184.36,178.76,183.23,7195966,181.68,184.36,178.76,183.23,7195966,0.0,1.0,BKNG,tiingo
2026-07-20,179.45,182.23,177.36,181.385,4059333,179.45,182.23,177.36,181.385,4059333,0.0,1.0,BKNG,tiingo
