date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-07,256.81,269.95,254.87,257.13,5367402,256.81,269.95,254.87,257.13,5367402,0.0,1.0,DDOG,tiingo
2026-07-08,261.09,261.89,249.74,252.5,3467045,261.09,261.89,249.74,252.5,3467045,0.0,1.0,DDOG,tiingo
2026-07-09,269.0,271.27,256.0,258.11,6237998,269.0,271.27,256.0,258.11,6237998,0.0,1.0,DDOG,tiingo
2026-07-10,257.54,271.54,255.39,270.41,5136099,257.54,271.54,255.39,270.41,5136099,0.0,1.0,DDOG,tiingo
2026-07-13,260.24,264.27,250.14,256.71,4213520,260.24,264.27,250.14,256.71,4213520,0.0,1.0,DDOG,tiingo
2026-07-14,270.73,271.12,252.02,255.585,4101022,270.73,271.12,252.02,255.585,4101022,0.0,1.0,DDOG,tiingo
2026-07-15,264.46,276.7,261.225,274.0,3229082,264.46,276.7,261.225,274.0,3229082,0.0,1.0,DDOG,tiingo
2026-07-16,262.32,266.91,254.54,264.82,3167269,262.32,266.91,254.54,264.82,3167269,0.0,1.0,DDOG,tiingo
2026-07-17,258.69,264.475,248.61,255.9,3508997,258.69,264.475,248.61,255.9,3508997,0.0,1.0,DDOG,tiingo
2026-07-20,263.2,268.83,257.075,258.59,3285538,263.2,268.83,257.075,258.59,3285538,0.0,1.0,DDOG,tiingo
