date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-07,1617.7,1638.88,1485.02,1619.28,14530822,1617.7,1638.88,1485.02,1619.28,14530822,0.0,1.0,SNDK,tiingo
2026-07-08,1727.18,1734.69,1590.0,1591.8,12048630,1727.18,1734.69,1590.0,1591.8,12048630,0.0,1.0,SNDK,tiingo
2026-07-09,1858.27,1952.59,1801.0,1835.613,13359298,1858.27,1952.59,1801.0,1835.613,13359298,0.0,1.0,SNDK,tiingo
2026-07-10,1915.92,1946.835,1773.0,1778.984,11022652,1915.92,1946.835,1773.0,1778.984,11022652,0.0,1.0,SNDK,tiingo
2026-07-13,1673.97,1800.0,1646.1701,1792.86,13900736,1673.97,1800.0,1646.1701,1792.86,13900736,0.0,1.0,SNDK,tiingo
2026-07-14,1757.82,1812.54,1711.47,1807.0,9630859,1757.82,1812.54,1711.47,1807.0,9630859,0.0,1.0,SNDK,tiingo
2026-07-15,1615.0,1729.5,1478.5,1717.29,19082598,1615.0,1729.5,1478.5,1717.29,19082598,0.0,1.0,SNDK,tiingo
2026-07-16,1411.08,1551.6294,1390.04,1527.49,17449904,1411.08,1551.6294,1390.04,1527.49,17449904,0.0,1.0,SNDK,tiingo
2026-07-17,1354.82,1501.2,1325.03,1365.205,19810859,1354.82,1501.2,1325.03,1365.205,19810859,0.0,1.0,SNDK,tiingo
2026-07-20,1390.95,1454.99,1375.61,1408.78,12571963,1390.95,1454.99,1375.61,1408.78,12571963,0.0,1.0,SNDK,tiingo
