date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-14,540.68,559.595,536.14,559.595,780143,540.68,559.595,536.14,559.595,780143,0.0,1.0,IDXX,tiingo
2026-07-15,557.02,568.4899,538.0,541.71,953299,557.02,568.4899,538.0,541.71,953299,0.0,1.0,IDXX,tiingo
2026-07-16,576.07,581.37,558.14,560.91,615502,576.07,581.37,558.14,560.91,615502,0.0,1.0,IDXX,tiingo
2026-07-17,567.44,579.395,561.15,570.76,535569,567.44,579.395,561.15,570.76,535569,0.0,1.0,IDXX,tiingo
2026-07-20,563.81,569.95,561.02,569.95,407906,563.81,569.95,561.02,569.95,407906,0.0,1.0,IDXX,tiingo
2026-07-21,552.46,562.0199,545.5701,553.01,429121,552.46,562.0199,545.5701,553.01,429121,0.0,1.0,IDXX,tiingo
2026-07-22,545.0,556.97,543.01,554.62,478726,545.0,556.97,543.01,554.62,478726,0.0,1.0,IDXX,tiingo
2026-07-23,539.365,547.61,534.36,542.17,459356,539.365,547.61,534.36,542.17,459356,0.0,1.0,IDXX,tiingo
2026-07-24,544.32,547.685,535.85,539.47,437376,544.32,547.685,535.85,539.47,437376,0.0,1.0,IDXX,tiingo
2026-07-27,556.2,563.86,547.995,550.77,512647,556.2,563.86,547.995,550.77,512647,0.0,1.0,IDXX,tiingo
