date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-20,525.7,554.99,522.96,545.63,6558316,525.7,554.99,522.96,545.63,6558316,0.0,1.0,AMAT,tiingo
2026-07-21,564.55,572.5,552.0,564.95,7636381,564.55,572.5,552.0,564.95,7636381,0.0,1.0,AMAT,tiingo
2026-07-22,553.92,563.3418,543.18,544.305,4963482,553.92,563.3418,543.18,544.305,4963482,0.0,1.0,AMAT,tiingo
2026-07-23,562.8,576.49,547.39,548.965,5706355,562.8,576.49,547.39,548.965,5706355,0.0,1.0,AMAT,tiingo
2026-07-24,536.25,562.8,530.0101,556.21,6262153,536.25,562.8,530.0101,556.21,6262153,0.0,1.0,AMAT,tiingo
2026-07-27,516.89,548.55,493.64,539.54,8011383,516.89,548.55,493.64,539.54,8011383,0.0,1.0,AMAT,tiingo
2026-07-28,476.46,495.0,467.01,490.92,9891288,476.46,495.0,467.01,490.92,9891288,0.0,1.0,AMAT,tiingo
2026-07-29,436.45,475.0,436.33,463.42,10166927,436.45,475.0,436.33,463.42,10166927,0.0,1.0,AMAT,tiingo
2026-07-30,501.77,508.54,476.12,482.48,12166310,501.77,508.54,476.12,482.48,12166310,0.0,1.0,AMAT,tiingo
2026-07-31,507.67,536.54,502.91,531.69,7411547,507.67,536.54,502.91,531.69,7411547,0.0,1.0,AMAT,tiingo
