date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-20,209.29,209.34,208.96,209.27,1696864,209.29,209.34,208.96,209.27,1696864,0.0,1.0,EA,tiingo
2026-07-21,209.04,209.3325,208.96,209.33,2032283,209.04,209.3325,208.96,209.33,2032283,0.0,1.0,EA,tiingo
2026-07-22,208.95,209.06,208.4,209.01,2880210,208.95,209.06,208.4,209.01,2880210,0.0,1.0,EA,tiingo
2026-07-23,209.0,209.19,208.85,209.06,2017933,209.0,209.19,208.85,209.06,2017933,0.0,1.0,EA,tiingo
2026-07-24,209.06,209.23,208.94,209.23,2026623,209.06,209.23,208.94,209.23,2026623,0.0,1.0,EA,tiingo
2026-07-27,209.07,209.25,208.95,209.25,2676211,209.07,209.25,208.95,209.25,2676211,0.0,1.0,EA,tiingo
2026-07-28,208.87,209.41,208.72,209.26,3710592,208.87,209.41,208.72,209.26,3710592,0.0,1.0,EA,tiingo
2026-07-29,208.91,209.16,208.52,209.14,3569440,208.91,209.16,208.52,209.14,3569440,0.0,1.0,EA,tiingo
2026-07-30,209.59,209.8,208.7,208.895,4143546,209.59,209.8,208.7,208.895,4143546,0.0,1.0,EA,tiingo
2026-07-31,209.86,209.93,209.76,209.85,4852325,209.86,209.93,209.76,209.85,4852325,0.0,1.0,EA,tiingo
