date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-20,133.21,135.5,132.91,134.28,4103979,133.21,135.5,132.91,134.28,4103979,0.0,1.0,GILD,tiingo
2026-07-21,130.28,132.865,129.13,130.51,8371109,130.28,132.865,129.13,130.51,8371109,0.0,1.0,GILD,tiingo
2026-07-22,130.34,132.86,130.23,131.83,4757764,130.34,132.86,130.23,131.83,4757764,0.0,1.0,GILD,tiingo
2026-07-23,130.86,131.07,127.61,129.22,6299287,130.86,131.07,127.61,129.22,6299287,0.0,1.0,GILD,tiingo
2026-07-24,129.31,131.6525,129.04,130.93,5529741,129.31,131.6525,129.04,130.93,5529741,0.0,1.0,GILD,tiingo
2026-07-27,130.52,133.0588,129.43,131.0,4953801,130.52,133.0588,129.43,131.0,4953801,0.0,1.0,GILD,tiingo
2026-07-28,134.32,136.26,132.63,133.11,6947167,134.32,136.26,132.63,133.11,6947167,0.0,1.0,GILD,tiingo
2026-07-29,132.73,134.64,132.565,134.41,7766370,132.73,134.64,132.565,134.41,7766370,0.0,1.0,GILD,tiingo
2026-07-30,131.28,131.39,128.28,130.02,6726143,131.28,131.39,128.28,130.02,6726143,0.0,1.0,GILD,tiingo
2026-07-31,130.21,130.885,128.76,130.23,6531645,130.21,130.885,128.76,130.23,6531645,0.0,1.0,GILD,tiingo
