date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-21,544.43,548.1399,522.6001,526.0,29045125,544.43,548.1399,522.6001,526.0,29045125,0.0,1.0,AMD,tiingo
2026-07-22,552.33,561.47,526.6,526.875,24776665,552.33,561.47,526.6,526.875,24776665,0.0,1.0,AMD,tiingo
2026-07-23,539.69,556.49,525.0,544.74,27155083,539.69,556.49,525.0,544.74,27155083,0.0,1.0,AMD,tiingo
2026-07-24,521.95,549.0,518.0,546.92,27200730,521.95,549.0,518.0,546.92,27200730,0.0,1.0,AMD,tiingo
2026-07-27,494.95,528.0,476.93,527.505,31800253,494.95,528.0,476.93,527.505,31800253,0.0,1.0,AMD,tiingo
2026-07-28,454.62,472.75,442.27,467.0,36315461,454.62,472.75,442.27,467.0,36315461,0.0,1.0,AMD,tiingo
2026-07-29,429.56,457.22,424.0316,452.675,32304898,429.56,457.22,424.0316,452.675,32304898,0.0,1.0,AMD,tiingo
2026-07-30,485.39,498.2,457.68,460.0,36936565,485.39,498.2,457.68,460.0,36936565,0.0,1.0,AMD,tiingo
2026-07-31,476.15,515.62,475.76,510.275,26615744,476.15,515.62,475.76,510.275,26615744,0.0,1.0,AMD,tiingo
2026-08-03,484.64,490.9464,455.3,461.79,24422256,484.64,490.9464,455.3,461.79,24422256,0.0,1.0,AMD,tiingo
