date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-21,25.79,26.18,25.615,25.9,9233152,25.79,26.18,25.615,25.9,9233152,0.0,1.0,KHC,tiingo
2026-07-22,25.96,26.33,25.87,26.235,10757828,25.96,26.33,25.87,26.235,10757828,0.0,1.0,KHC,tiingo
2026-07-23,25.36,25.99,25.17,25.75,14529117,25.36,25.99,25.17,25.75,14529117,0.0,1.0,KHC,tiingo
2026-07-24,25.67,25.695,25.255,25.37,13009786,25.67,25.695,25.255,25.37,13009786,0.0,1.0,KHC,tiingo
2026-07-27,26.22,26.39,25.7,25.7,16741858,26.22,26.39,25.7,25.7,16741858,0.0,1.0,KHC,tiingo
2026-07-28,27.3,27.66,26.62,26.72,20678289,27.3,27.66,26.62,26.72,20678289,0.0,1.0,KHC,tiingo
2026-07-29,27.62,28.09,27.21,27.23,17873878,27.62,28.09,27.21,27.23,17873878,0.0,1.0,KHC,tiingo
2026-07-30,26.38,27.11,26.25,27.01,14585985,26.38,27.11,26.25,27.01,14585985,0.0,1.0,KHC,tiingo
2026-07-31,25.85,26.275,25.82,26.02,13034714,25.85,26.275,25.82,26.02,13034714,0.0,1.0,KHC,tiingo
2026-08-03,26.42,26.53,26.06,26.29,13616412,26.42,26.53,26.06,26.29,13616412,0.0,1.0,KHC,tiingo
