date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-21,148.72,151.45,146.7345,147.24,1868072,148.72,151.45,146.7345,147.24,1868072,0.0,1.0,ZS,tiingo
2026-07-22,142.26,150.386,141.115,149.97,1935545,142.26,150.386,141.115,149.97,1935545,0.0,1.0,ZS,tiingo
2026-07-23,139.7,144.29,139.2401,143.97,1777400,139.7,144.29,139.2401,143.97,1777400,0.0,1.0,ZS,tiingo
2026-07-24,142.32,144.0,139.81,141.93,1288109,142.32,144.0,139.81,141.93,1288109,0.0,1.0,ZS,tiingo
2026-07-27,147.3,149.45,144.0,145.9,1978079,147.3,149.45,144.0,145.9,1978079,0.0,1.0,ZS,tiingo
2026-07-28,151.63,154.27,142.75,147.1,2384508,151.63,154.27,142.75,147.1,2384508,0.0,1.0,ZS,tiingo
2026-07-29,153.77,156.54,150.2,151.07,1977738,153.77,156.54,150.2,151.07,1977738,0.0,1.0,ZS,tiingo
2026-07-30,148.39,151.53,143.8541,150.6,2881229,148.39,151.53,143.8541,150.6,2881229,0.0,1.0,ZS,tiingo
2026-07-31,151.2,152.505,145.11,148.5,2648096,151.2,152.505,145.11,148.5,2648096,0.0,1.0,ZS,tiingo
2026-08-03,154.46,155.88,151.21,153.74,2657224,154.46,155.88,151.21,153.74,2657224,0.0,1.0,ZS,tiingo
