date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-27,338.61,342.27,334.381,336.505,3669951,338.61,342.27,334.381,336.505,3669951,0.0,1.0,CDNS,tiingo
2026-07-28,344.72,355.59,335.16,335.16,4911976,344.72,355.59,335.16,335.16,4911976,0.0,1.0,CDNS,tiingo
2026-07-29,332.76,351.0,332.555,349.0,3422481,332.76,351.0,332.555,349.0,3422481,0.0,1.0,CDNS,tiingo
2026-07-30,332.82,342.5,329.59,336.615,2670908,332.82,342.5,329.59,336.615,2670908,0.0,1.0,CDNS,tiingo
2026-07-31,340.02,344.77,334.2494,335.27,2088802,340.02,344.77,334.2494,335.27,2088802,0.0,1.0,CDNS,tiingo
2026-08-03,336.15,344.445,331.675,343.79,1818473,336.15,344.445,331.675,343.79,1818473,0.0,1.0,CDNS,tiingo
2026-08-04,340.62,349.11,339.291,340.81,2010946,340.62,349.11,339.291,340.81,2010946,0.0,1.0,CDNS,tiingo
2026-08-05,337.07,347.96,335.66,347.96,1642314,337.07,347.96,335.66,347.96,1642314,0.0,1.0,CDNS,tiingo
2026-08-06,338.42,341.73,333.0,335.54,1554756,338.42,341.73,333.0,335.54,1554756,0.0,1.0,CDNS,tiingo
2026-08-07,339.24,348.12,335.58,343.0,2092115,339.24,348.12,335.58,343.0,2092115,0.0,1.0,CDNS,tiingo
