date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-27,51.8,53.6,51.335,53.6,17856125,51.8,53.6,51.335,53.6,17856125,0.0,1.0,CSX,tiingo
2026-07-28,50.84,52.42,50.81,52.035,15421409,50.84,52.42,50.81,52.035,15421409,0.0,1.0,CSX,tiingo
2026-07-29,50.74,51.0,50.3,50.655,14676707,50.74,51.0,50.3,50.655,14676707,0.0,1.0,CSX,tiingo
2026-07-30,50.19,51.53,49.78,51.53,13348421,50.19,51.53,49.78,51.53,13348421,0.0,1.0,CSX,tiingo
2026-07-31,50.4,50.57,49.85,50.3,17243381,50.4,50.57,49.85,50.3,17243381,0.0,1.0,CSX,tiingo
2026-08-03,49.83,50.74,49.6,50.63,12822797,49.83,50.74,49.6,50.63,12822797,0.0,1.0,CSX,tiingo
2026-08-04,51.03,51.09,49.42,49.73,14455847,51.03,51.09,49.42,49.73,14455847,0.0,1.0,CSX,tiingo
2026-08-05,51.12,51.22,50.67,51.03,9884237,51.12,51.22,50.67,51.03,9884237,0.0,1.0,CSX,tiingo
2026-08-06,50.7,51.59,50.61,51.5,11464642,50.7,51.59,50.61,51.5,11464642,0.0,1.0,CSX,tiingo
2026-08-07,50.27,50.88,50.06,50.38,7239391,50.27,50.88,50.06,50.38,7239391,0.0,1.0,CSX,tiingo
