date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-27,195.8,201.71,195.43,197.08,1742647,195.8,201.71,195.43,197.08,1742647,0.0,1.0,FANG,tiingo
2026-07-28,190.305,198.59,190.05,197.11,2516796,190.305,198.59,190.05,197.11,2516796,0.0,1.0,FANG,tiingo
2026-07-29,199.13,199.97,195.98,198.2,1926950,199.13,199.97,195.98,198.2,1926950,0.0,1.0,FANG,tiingo
2026-07-30,199.77,199.93,195.48,196.93,1515025,199.77,199.93,195.48,196.93,1515025,0.0,1.0,FANG,tiingo
2026-07-31,202.95,203.79,198.1,198.475,1651682,202.95,203.79,198.1,198.475,1651682,0.0,1.0,FANG,tiingo
2026-08-03,198.75,199.595,196.26,198.76,2204909,198.75,199.595,196.26,198.76,2204909,0.0,1.0,FANG,tiingo
2026-08-04,191.87,195.5,188.31,189.11,4160958,191.87,195.5,188.31,189.11,4160958,0.0,1.0,FANG,tiingo
2026-08-05,186.17,192.5,184.845,191.91,2370240,186.17,192.5,184.845,191.91,2370240,0.0,1.0,FANG,tiingo
2026-08-06,189.63,190.11,187.06,189.55,1486786,189.63,190.11,187.06,189.55,1486786,0.0,1.0,FANG,tiingo
2026-08-07,188.04,189.07,184.795,187.39,1507147,188.04,189.07,184.795,187.39,1507147,0.0,1.0,FANG,tiingo
