date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-27,303.91,310.12,299.6286,304.96,3830977,303.91,310.12,299.6286,304.96,3830977,0.0,1.0,INTU,tiingo
2026-07-28,312.99,319.99,305.73,305.73,5767049,312.99,319.99,305.73,305.73,5767049,0.0,1.0,INTU,tiingo
2026-07-29,333.13,336.94,313.46,313.46,5986099,333.13,336.94,313.46,313.46,5986099,0.0,1.0,INTU,tiingo
2026-07-30,315.5,318.99,303.8,317.0,4686578,315.5,318.99,303.8,317.0,4686578,0.0,1.0,INTU,tiingo
2026-07-31,316.07,317.53,306.81,310.425,3118109,316.07,317.53,306.81,310.425,3118109,0.0,1.0,INTU,tiingo
2026-08-03,318.39,331.15,317.77,324.345,4036209,318.39,331.15,317.77,324.345,4036209,0.0,1.0,INTU,tiingo
2026-08-04,323.6,324.37,309.047,311.19,3491440,323.6,324.37,309.047,311.19,3491440,0.0,1.0,INTU,tiingo
2026-08-05,327.94,328.79,320.44,327.31,3650746,327.94,328.79,320.44,327.31,3650746,0.0,1.0,INTU,tiingo
2026-08-06,321.91,322.65,316.05,319.7,2956520,321.91,322.65,316.05,319.7,2956520,0.0,1.0,INTU,tiingo
2026-08-07,325.25,336.3,324.64,327.0,2977656,325.25,336.3,324.64,327.0,2977656,0.0,1.0,INTU,tiingo
