date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-27,479.0,487.2125,477.99,479.27,1631004,479.0,487.2125,477.99,479.27,1631004,0.0,1.0,VRTX,tiingo
2026-07-28,490.39,493.61,482.86,483.13,1700871,490.39,493.61,482.86,483.13,1700871,0.0,1.0,VRTX,tiingo
2026-07-29,483.33,492.99,481.91,492.67,1451920,483.33,492.99,481.91,492.67,1451920,0.0,1.0,VRTX,tiingo
2026-07-30,481.7,482.145,470.54,474.1,1249350,481.7,482.145,470.54,474.1,1249350,0.0,1.0,VRTX,tiingo
2026-07-31,477.1,480.67,469.87,480.67,957709,477.1,480.67,469.87,480.67,957709,0.0,1.0,VRTX,tiingo
2026-08-03,470.72,483.36,468.14,480.0,1510456,470.72,483.36,468.14,480.0,1510456,0.0,1.0,VRTX,tiingo
2026-08-04,478.705,488.04,465.51,471.29,2026378,478.705,488.04,465.51,471.29,2026378,0.0,1.0,VRTX,tiingo
2026-08-05,484.83,491.9475,479.02,487.52,1383067,484.83,491.9475,479.02,487.52,1383067,0.0,1.0,VRTX,tiingo
2026-08-06,484.03,492.4,480.86,490.91,1015131,484.03,492.4,480.86,490.91,1015131,0.0,1.0,VRTX,tiingo
2026-08-07,496.07,497.395,482.1,487.11,992491,496.07,497.395,482.1,487.11,992491,0.0,1.0,VRTX,tiingo
