date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-28,153.11,153.19,148.09,148.83,6846162,153.11,153.19,148.09,148.83,6846162,0.0,1.0,ABNB,tiingo
2026-07-29,153.01,156.5,151.5,152.01,3852540,153.01,156.5,151.5,152.01,3852540,0.0,1.0,ABNB,tiingo
2026-07-30,152.08,152.21,149.58,151.5,3056066,152.08,152.21,149.58,151.5,3056066,0.0,1.0,ABNB,tiingo
2026-07-31,151.52,152.64,149.61,150.84,2461545,151.52,152.64,149.61,150.84,2461545,0.0,1.0,ABNB,tiingo
2026-08-03,150.64,154.56,150.02,153.34,3597522,150.64,154.56,150.02,153.34,3597522,0.0,1.0,ABNB,tiingo
2026-08-04,149.92,151.19,148.65,149.75,3580645,149.92,151.19,148.65,149.75,3580645,0.0,1.0,ABNB,tiingo
2026-08-05,152.49,155.25,150.86,153.913,4079580,152.49,155.25,150.86,153.913,4079580,0.0,1.0,ABNB,tiingo
2026-08-06,151.64,153.79,148.75,152.14,6041107,151.64,153.79,148.75,152.14,6041107,0.0,1.0,ABNB,tiingo
2026-08-07,178.07,178.48,163.45,164.7,15914961,178.07,178.48,163.45,164.7,15914961,0.0,1.0,ABNB,tiingo
2026-08-10,184.7,185.99,177.43,178.69,9985945,184.7,185.99,177.43,178.69,9985945,0.0,1.0,ABNB,tiingo
