date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-28,237.38,243.25,229.4,231.49,3885839,237.38,243.25,229.4,231.49,3885839,0.0,1.0,ADSK,tiingo
2026-07-29,245.25,249.14,238.32,242.17,2432088,245.25,249.14,238.32,242.17,2432088,0.0,1.0,ADSK,tiingo
2026-07-30,234.97,238.69,231.755,238.09,2687988,234.97,238.69,231.755,238.09,2687988,0.0,1.0,ADSK,tiingo
2026-07-31,234.2,235.07,227.99,230.44,1949440,234.2,235.07,227.99,230.44,1949440,0.0,1.0,ADSK,tiingo
2026-08-03,234.71,243.94,233.84,239.6,1920226,234.71,243.94,233.84,239.6,1920226,0.0,1.0,ADSK,tiingo
2026-08-04,237.21,237.72,229.7,231.19,2114265,237.21,237.72,229.7,231.19,2114265,0.0,1.0,ADSK,tiingo
2026-08-05,240.03,240.64,235.425,238.43,1486114,240.03,240.64,235.425,238.43,1486114,0.0,1.0,ADSK,tiingo
2026-08-06,242.47,243.0,235.26,237.36,1359907,242.47,243.0,235.26,237.36,1359907,0.0,1.0,ADSK,tiingo
2026-08-07,249.08,252.885,245.0,245.0,1821188,249.08,252.885,245.0,245.0,1821188,0.0,1.0,ADSK,tiingo
2026-08-10,256.07,257.29,246.515,246.515,1679802,256.07,257.29,246.515,246.515,1679802,0.0,1.0,ADSK,tiingo
