date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-28,418.22,420.945,395.1501,414.48,5578585,418.22,420.945,395.1501,414.48,5578585,0.0,1.0,APP,tiingo
2026-07-29,399.46,420.85,397.15,413.535,5606586,399.46,420.85,397.15,413.535,5606586,0.0,1.0,APP,tiingo
2026-07-30,403.87,406.3799,390.0505,393.02,7548346,403.87,406.3799,390.0505,393.02,7548346,0.0,1.0,APP,tiingo
2026-07-31,395.9,398.16,377.71,397.9,15452191,395.9,398.16,377.71,397.9,15452191,0.0,1.0,APP,tiingo
2026-08-03,406.16,414.28,399.05,410.7,4591772,406.16,414.28,399.05,410.7,4591772,0.0,1.0,APP,tiingo
2026-08-04,419.7,426.9,405.33,418.33,7149634,419.7,426.9,405.33,418.33,7149634,0.0,1.0,APP,tiingo
2026-08-05,417.8,437.79,416.09,432.51,10804986,417.8,437.79,416.09,432.51,10804986,0.0,1.0,APP,tiingo
2026-08-06,335.67,352.0,332.1918,338.45,15235885,335.67,352.0,332.1918,338.45,15235885,0.0,1.0,APP,tiingo
2026-08-07,346.8,350.93,336.67,337.54,7736957,346.8,350.93,336.67,337.54,7736957,0.0,1.0,APP,tiingo
2026-08-10,339.0,350.28,338.71,347.0,6272851,339.0,350.28,338.71,347.0,6272851,0.0,1.0,APP,tiingo
