date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-28,64.11,64.255,61.4,61.4,7990401,64.11,64.255,61.4,61.4,7990401,0.0,1.0,GEHC,tiingo
2026-07-29,71.9,72.04,68.08,69.32,15272208,71.9,72.04,68.08,69.32,15272208,0.0,1.0,GEHC,tiingo
2026-07-30,69.94,71.82,68.26,71.37,7668033,69.94,71.82,68.26,71.37,7668033,0.0,1.0,GEHC,tiingo
2026-07-31,68.02,69.02,67.155,68.84,5127648,68.02,69.02,67.155,68.84,5127648,0.0,1.0,GEHC,tiingo
2026-08-03,69.73,70.27,68.84,69.61,4368983,69.73,70.27,68.84,69.61,4368983,0.0,1.0,GEHC,tiingo
2026-08-04,70.26,70.355,68.85,69.47,3427476,70.26,70.355,68.85,69.47,3427476,0.0,1.0,GEHC,tiingo
2026-08-05,70.24,71.04,69.72,70.33,2790924,70.24,71.04,69.72,70.33,2790924,0.0,1.0,GEHC,tiingo
2026-08-06,70.31,71.0,69.585,70.41,4351164,70.31,71.0,69.585,70.41,4351164,0.0,1.0,GEHC,tiingo
2026-08-07,71.77,71.92,69.67,70.235,2938953,71.77,71.92,69.67,70.235,2938953,0.0,1.0,GEHC,tiingo
2026-08-10,72.94,73.43,71.23,71.23,3254878,72.94,73.43,71.23,71.23,3254878,0.0,1.0,GEHC,tiingo
