date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-28,361.8,374.7,360.48,365.5,4088169,361.8,374.7,360.48,365.5,4088169,0.0,1.0,ISRG,tiingo
2026-07-29,353.1,361.8,351.94,361.455,2738061,353.1,361.8,351.94,361.455,2738061,0.0,1.0,ISRG,tiingo
2026-07-30,352.97,355.06,346.45,346.83,2773454,352.97,355.06,346.45,346.83,2773454,0.0,1.0,ISRG,tiingo
2026-07-31,353.33,355.093,348.88,350.77,2461906,353.33,355.093,348.88,350.77,2461906,0.0,1.0,ISRG,tiingo
2026-08-03,375.41,375.85,360.98,361.755,3502071,375.41,375.85,360.98,361.755,3502071,0.0,1.0,ISRG,tiingo
2026-08-04,368.265,376.31,364.26,376.31,3938805,368.265,376.31,364.26,376.31,3938805,0.0,1.0,ISRG,tiingo
2026-08-05,375.2,376.625,369.4801,372.8,3286390,375.2,376.625,369.4801,372.8,3286390,0.0,1.0,ISRG,tiingo
2026-08-06,373.71,378.6399,371.68,374.39,2594560,373.71,378.6399,371.68,374.39,2594560,0.0,1.0,ISRG,tiingo
2026-08-07,378.81,379.9,372.6325,374.55,2466037,378.81,379.9,372.6325,374.55,2466037,0.0,1.0,ISRG,tiingo
2026-08-10,393.38,393.63,378.0,379.24,3221560,393.38,393.63,378.0,379.24,3221560,0.0,1.0,ISRG,tiingo
