date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-28,197.01,198.7,192.74,195.0,134111494,197.01,198.7,192.74,195.0,134111494,0.0,1.0,NVDA,tiingo
2026-07-29,190.01,197.074,190.01,195.845,147680809,190.01,197.074,190.01,195.845,147680809,0.0,1.0,NVDA,tiingo
2026-07-30,195.04,197.25,191.52,193.45,129010151,195.04,197.25,191.52,193.45,129010151,0.0,1.0,NVDA,tiingo
2026-07-31,200.75,202.0,194.95,198.4405,139961152,200.75,202.0,194.95,198.4405,139961152,0.0,1.0,NVDA,tiingo
2026-08-03,206.64,208.74,196.85,197.69,128406883,206.64,208.74,196.85,197.69,128406883,0.0,1.0,NVDA,tiingo
2026-08-04,211.94,213.06,209.05,211.3,134921997,211.94,213.06,209.05,211.3,134921997,0.0,1.0,NVDA,tiingo
2026-08-05,219.22,222.22,216.4,216.86,158187403,219.22,222.22,216.4,216.86,158187403,0.0,1.0,NVDA,tiingo
2026-08-06,218.99,223.63,217.0,221.53,113940644,218.99,223.63,217.0,221.53,113940644,0.0,1.0,NVDA,tiingo
2026-08-07,223.96,224.76,220.66,221.54,105669440,223.96,224.76,220.66,221.54,105669440,0.0,1.0,NVDA,tiingo
2026-08-10,217.55,224.1379,216.77,223.4,115846596,217.55,224.1379,216.77,223.4,115846596,0.0,1.0,NVDA,tiingo
