date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-28,226.28,230.8,225.815,227.1,2071323,226.28,230.8,225.815,227.1,2071323,0.0,1.0,ODFL,tiingo
2026-07-29,222.79,225.73,214.79,221.64,2963026,222.79,225.73,214.79,221.64,2963026,0.0,1.0,ODFL,tiingo
2026-07-30,212.47,223.66,205.16,223.57,3588432,212.47,223.66,205.16,223.57,3588432,0.0,1.0,ODFL,tiingo
2026-07-31,212.14,214.37,210.01,214.37,1746065,212.14,214.37,210.01,214.37,1746065,0.0,1.0,ODFL,tiingo
2026-08-03,211.52,215.845,209.56,213.14,1868007,211.52,215.845,209.56,213.14,1868007,0.0,1.0,ODFL,tiingo
2026-08-04,219.32,219.985,211.68,212.93,1832926,219.32,219.985,211.68,212.93,1832926,0.0,1.0,ODFL,tiingo
2026-08-05,215.45,219.995,213.26,215.07,2035896,215.45,219.995,213.26,215.07,2035896,0.0,1.0,ODFL,tiingo
2026-08-06,211.41,214.74,210.02,213.81,1598048,211.41,214.74,210.02,213.81,1598048,0.0,1.0,ODFL,tiingo
2026-08-07,216.36,217.96,209.75,211.37,1253182,216.36,217.96,209.75,211.37,1253182,0.0,1.0,ODFL,tiingo
2026-08-10,212.55,219.74,211.81,215.26,1539576,212.55,219.74,211.81,215.26,1539576,0.0,1.0,ODFL,tiingo
