date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-08-03,284.02,287.2,278.0,278.29,90830221,284.02,287.2,278.0,278.29,90830221,0.0,1.0,AMZN,tiingo
2026-08-04,277.42,281.07,275.82,276.06,69748055,277.42,281.07,275.82,276.06,69748055,0.0,1.0,AMZN,tiingo
2026-08-05,272.65,282.79,270.73,281.59,45119804,272.65,282.79,270.73,281.59,45119804,0.0,1.0,AMZN,tiingo
2026-08-06,272.26,275.48,271.061,272.765,30672901,272.26,275.48,271.061,272.765,30672901,0.0,1.0,AMZN,tiingo
2026-08-07,274.48,278.31,272.75,272.87,33861436,274.48,278.31,272.75,272.87,33861436,0.0,1.0,AMZN,tiingo
2026-08-10,278.09,280.14,273.6001,274.01,35731907,278.09,280.14,273.6001,274.01,35731907,0.0,1.0,AMZN,tiingo
2026-08-11,272.27,278.84,271.36,278.69,31895708,272.27,278.84,271.36,278.69,31895708,0.0,1.0,AMZN,tiingo
2026-08-12,267.28,273.46,267.1,273.18,29941093,267.28,273.46,267.1,273.18,29941093,0.0,1.0,AMZN,tiingo
2026-08-13,265.13,269.58,264.705,267.235,32170151,265.13,269.58,264.705,267.235,32170151,0.0,1.0,AMZN,tiingo
2026-08-14,262.65,265.81,262.42,264.875,27251660,262.65,265.81,262.42,264.875,27251660,0.0,1.0,AMZN,tiingo
