date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-08-03,24.56,24.895,24.39,24.43,37773947,24.56,24.895,24.39,24.43,37773947,0.0,1.0,CMCSA,tiingo
2026-08-04,24.93,24.97,24.33,24.4,31994567,24.93,24.97,24.33,24.4,31994567,0.0,1.0,CMCSA,tiingo
2026-08-05,24.75,24.93,24.335,24.915,28978332,24.75,24.93,24.335,24.915,28978332,0.0,1.0,CMCSA,tiingo
2026-08-06,25.17,25.2,24.76,24.99,27604574,25.17,25.2,24.76,24.99,27604574,0.0,1.0,CMCSA,tiingo
2026-08-07,25.36,25.5,24.94,24.99,19058887,25.36,25.5,24.94,24.99,19058887,0.0,1.0,CMCSA,tiingo
2026-08-10,25.2,25.235,24.775,25.16,19015012,25.2,25.235,24.775,25.16,19015012,0.0,1.0,CMCSA,tiingo
2026-08-11,25.65,25.68,25.04,25.04,22284152,25.65,25.68,25.04,25.04,22284152,0.0,1.0,CMCSA,tiingo
2026-08-12,25.47,25.63,25.07,25.54,21388491,25.47,25.63,25.07,25.54,21388491,0.0,1.0,CMCSA,tiingo
2026-08-13,26.18,26.26,25.6207,25.63,18079778,26.18,26.26,25.6207,25.63,18079778,0.0,1.0,CMCSA,tiingo
2026-08-14,26.18,26.49,26.13,26.31,20010476,26.18,26.49,26.13,26.31,20010476,0.0,1.0,CMCSA,tiingo
