date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-08-04,100.86,101.39,94.32,95.24,124355055,100.86,101.39,94.32,95.24,124355055,0.0,1.0,INTC,tiingo
2026-08-05,101.06,102.83,97.895,99.3,85388366,101.06,102.83,97.895,99.3,85388366,0.0,1.0,INTC,tiingo
2026-08-06,99.81,103.3799,95.6,98.22,78088124,99.81,103.3799,95.6,98.22,78088124,0.0,1.0,INTC,tiingo
2026-08-07,101.65,103.66,98.03,102.33,76760636,101.65,103.66,98.03,102.33,76760636,0.0,1.0,INTC,tiingo
2026-08-10,97.52,100.025,96.3,98.26,101153438,97.52,100.025,96.3,98.26,101153438,0.0,1.0,INTC,tiingo
2026-08-11,97.71,98.35,95.35,96.78,164063575,97.71,98.35,95.35,96.78,164063575,0.0,1.0,INTC,tiingo
2026-08-12,100.95,103.16,100.1232,101.33,162446693,100.95,103.16,100.1232,101.33,162446693,0.0,1.0,INTC,tiingo
2026-08-13,104.56,107.57,100.33,101.51,116837589,104.56,107.57,100.33,101.51,116837589,0.0,1.0,INTC,tiingo
2026-08-14,102.5,106.87,102.05,104.48,95387502,102.5,106.87,102.05,104.48,95387502,0.0,1.0,INTC,tiingo
2026-08-17,103.49,105.97,101.8,103.55,88616832,103.49,105.97,101.8,103.55,88616832,0.0,1.0,INTC,tiingo
