date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-08-04,139.1,139.205,137.132125,137.77,8525176,139.1,139.205,137.132125,137.77,8525176,0.0,1.0,PEP,tiingo
2026-08-05,138.78,140.27,137.92,140.23,6257637,138.78,140.27,137.92,140.23,6257637,0.0,1.0,PEP,tiingo
2026-08-06,138.44,140.52,137.14,140.09,8510281,138.44,140.52,137.14,140.09,8510281,0.0,1.0,PEP,tiingo
2026-08-07,139.02,139.485,137.15,137.54,4733961,139.02,139.485,137.15,137.54,4733961,0.0,1.0,PEP,tiingo
2026-08-10,137.73,138.515,137.18,138.515,5883765,137.73,138.515,137.18,138.515,5883765,0.0,1.0,PEP,tiingo
2026-08-11,138.41,138.51,136.9,137.01,5823880,138.41,138.51,136.9,137.01,5823880,0.0,1.0,PEP,tiingo
2026-08-12,138.7,138.75,136.7305,137.52,5472698,138.7,138.75,136.7305,137.52,5472698,0.0,1.0,PEP,tiingo
2026-08-13,140.62,140.83,139.33,139.41,6246700,140.62,140.83,139.33,139.41,6246700,0.0,1.0,PEP,tiingo
2026-08-14,140.79,141.27,140.12,140.62,3867008,140.79,141.27,140.12,140.62,3867008,0.0,1.0,PEP,tiingo
2026-08-17,138.24,139.89,137.6601,139.71,6856152,138.24,139.89,137.6601,139.71,6856152,0.0,1.0,PEP,tiingo
