date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-08-04,162.67,163.48,155.3123,156.975,16351486,162.67,163.48,155.3123,156.975,16351486,0.0,1.0,QCOM,tiingo
2026-08-05,157.53,162.8,157.1,161.3,9725677,157.53,162.8,157.1,161.3,9725677,0.0,1.0,QCOM,tiingo
2026-08-06,160.39,162.6,155.22,155.42,7232783,160.39,162.6,155.22,155.42,7232783,0.0,1.0,QCOM,tiingo
2026-08-07,167.86,167.99,162.3,163.07,9723292,167.86,167.99,162.3,163.07,9723292,0.0,1.0,QCOM,tiingo
2026-08-10,162.17,168.87,162.08,168.155,9259983,162.17,168.87,162.08,168.155,9259983,0.0,1.0,QCOM,tiingo
2026-08-11,162.68,164.605,161.43,163.75,6326722,162.68,164.605,161.43,163.75,6326722,0.0,1.0,QCOM,tiingo
2026-08-12,163.07,166.94,161.07,166.889,7731711,163.07,166.94,161.07,166.889,7731711,0.0,1.0,QCOM,tiingo
2026-08-13,164.79,166.77,162.51,163.34,7716553,164.79,166.77,162.51,163.34,7716553,0.0,1.0,QCOM,tiingo
2026-08-14,165.79,166.965,163.18,165.63,5807737,165.79,166.965,163.18,165.63,5807737,0.0,1.0,QCOM,tiingo
2026-08-17,162.18,166.34,161.45,166.25,8967659,162.18,166.34,161.45,166.25,8967659,0.0,1.0,QCOM,tiingo
