date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-08-04,177.21,177.43,174.2,175.22,5803561,177.21,177.43,174.2,175.22,5803561,0.0,1.0,TMUS,tiingo
2026-08-05,173.46,176.76,171.18,175.2,5294260,173.46,176.76,171.18,175.2,5294260,0.0,1.0,TMUS,tiingo
2026-08-06,179.97,180.38,176.25,177.4,4608522,179.97,180.38,176.25,177.4,4608522,0.0,1.0,TMUS,tiingo
2026-08-07,177.19,179.66,176.6201,178.41,4831540,177.19,179.66,176.6201,178.41,4831540,0.0,1.0,TMUS,tiingo
2026-08-10,178.2,178.2,173.095,175.94,3795172,178.2,178.2,173.095,175.94,3795172,0.0,1.0,TMUS,tiingo
2026-08-11,178.58,181.73,176.5053,176.83,3682790,178.58,181.73,176.5053,176.83,3682790,0.0,1.0,TMUS,tiingo
2026-08-12,177.13,178.74,175.72,177.72,2589417,177.13,178.74,175.72,177.72,2589417,0.0,1.0,TMUS,tiingo
2026-08-13,183.38,183.6,177.925,178.39,2998914,183.38,183.6,177.925,178.39,2998914,0.0,1.0,TMUS,tiingo
2026-08-14,182.61,183.98,181.33,183.22,2507282,182.61,183.98,181.33,183.22,2507282,0.0,1.0,TMUS,tiingo
2026-08-17,180.12,184.0,179.05,182.41,4343209,180.12,184.0,179.05,182.41,4343209,0.0,1.0,TMUS,tiingo
