date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-08-10,122.84,125.6756,122.25,125.045,4659137,122.84,125.6756,122.25,125.045,4659137,0.95,1.0,AEP,tiingo
2026-08-11,123.58,123.8201,122.28,122.53,2694850,123.58,123.8201,122.28,122.53,2694850,0.0,1.0,AEP,tiingo
2026-08-12,124.65,124.708,123.41,123.62,2359435,124.65,124.708,123.41,123.62,2359435,0.0,1.0,AEP,tiingo
2026-08-13,125.38,125.9,124.5701,124.74,2246969,125.38,125.9,124.5701,124.74,2246969,0.0,1.0,AEP,tiingo
2026-08-14,125.6,126.0,124.86,124.87,2360192,125.6,126.0,124.86,124.87,2360192,0.0,1.0,AEP,tiingo
2026-08-17,126.53,126.68,124.78,124.88,2923011,126.53,126.68,124.78,124.88,2923011,0.0,1.0,AEP,tiingo
2026-08-18,126.35,128.62,126.145,128.18,2919630,126.35,128.62,126.145,128.18,2919630,0.0,1.0,AEP,tiingo
2026-08-19,126.27,127.43,125.23,127.36,2690928,126.27,127.43,125.23,127.36,2690928,0.0,1.0,AEP,tiingo
2026-08-20,125.7,127.54,125.67,126.19,3358729,125.7,127.54,125.67,126.19,3358729,0.0,1.0,AEP,tiingo
2026-08-21,120.94,126.17,120.52,126.15,5247384,120.94,126.17,120.52,126.15,5247384,0.0,1.0,AEP,tiingo
