date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-08-10,106.03,107.91,105.33,106.65,1495275,106.03,107.91,105.33,106.65,1495275,0.0,1.0,CCEP,tiingo
2026-08-11,106.51,106.54,104.57,105.44,1946656,106.51,106.54,104.57,105.44,1946656,0.0,1.0,CCEP,tiingo
2026-08-12,107.08,107.62,105.79,106.225,2179225,107.08,107.62,105.79,106.225,2179225,0.0,1.0,CCEP,tiingo
2026-08-13,107.48,107.59,106.71,106.82,2237203,107.48,107.59,106.71,106.82,2237203,0.0,1.0,CCEP,tiingo
2026-08-14,107.64,108.18,107.11,107.11,1280388,107.64,108.18,107.11,107.11,1280388,0.0,1.0,CCEP,tiingo
2026-08-17,105.57,106.84,105.235,106.74,1609769,105.57,106.84,105.235,106.74,1609769,0.0,1.0,CCEP,tiingo
2026-08-18,107.5,108.25,106.535,106.81,1715629,107.5,108.25,106.535,106.81,1715629,0.0,1.0,CCEP,tiingo
2026-08-19,106.68,108.61,106.515,107.88,2066563,106.68,108.61,106.515,107.88,2066563,0.0,1.0,CCEP,tiingo
2026-08-20,106.85,107.83,106.385,106.49,1312039,106.85,107.83,106.385,106.49,1312039,0.0,1.0,CCEP,tiingo
2026-08-21,108.0,108.62,107.1719,107.35,1011964,108.0,108.62,107.1719,107.35,1011964,0.0,1.0,CCEP,tiingo
