date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-08-10,808.05,809.09,775.83,781.72,1213798,807.1136270618,808.1524219039,774.9309637812,780.8141384156,1213798,0.0,1.0,REGN,tiingo
2026-08-11,797.0,813.63,796.66,808.8,939190,796.0764318647,812.6871609261,795.7368258586,807.8627579575,939190,0.0,1.0,REGN,tiingo
2026-08-12,797.99,801.355,784.61,790.55,575164,797.0652846471,800.4263852659,783.7007894672,789.6339061614,575164,0.0,1.0,REGN,tiingo
2026-08-13,805.97,815.8,794.49,802.21,709747,805.0360373776,814.8546463177,793.569340467,801.280394487,709747,0.0,1.0,REGN,tiingo
2026-08-14,803.48,806.535,792.57,802.35,425600,802.5489228038,805.6003826524,791.6515653739,801.4202322542,425600,0.0,1.0,REGN,tiingo
2026-08-17,805.93,813.18,795.73,801.76,541306,804.9960837299,812.2376823886,794.8079035479,800.8309159496,541306,0.0,1.0,REGN,tiingo
2026-08-18,810.24,821.02,805.93,814.0,779072,810.24,821.02,805.93,814.0,779072,0.94,1.0,REGN,tiingo
2026-08-19,840.84,844.92,815.38,817.17,750445,840.84,844.92,815.38,817.17,750445,0.0,1.0,REGN,tiingo
2026-08-20,826.64,840.8199,826.05,831.7,596474,826.64,840.8199,826.05,831.7,596474,0.0,1.0,REGN,tiingo
2026-08-21,834.04,847.0,826.64,835.74,786921,834.04,847.0,826.64,835.74,786921,0.0,1.0,REGN,tiingo
