date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-08-10,112.66,112.7,110.76,111.075,19143979,112.3917554535,112.4316602131,110.4962793718,110.8105293538,19143979,0.0,1.0,WMT,tiingo
2026-08-11,113.26,113.34,112.19,112.44,17005849,112.9903268477,113.0701363669,111.922874528,112.1722792756,17005849,0.0,1.0,WMT,tiingo
2026-08-12,116.01,116.045,112.28,112.365,22054703,115.7337790712,115.7686957358,112.0126602371,112.0974578513,22054703,0.0,1.0,WMT,tiingo
2026-08-13,115.72,116.32,114.805,116.17,16822246,115.444469564,116.0430409582,114.5316481878,115.8933981096,16822246,0.0,1.0,WMT,tiingo
2026-08-14,115.27,116.45,114.635,115.655,14519994,114.9955410183,116.1727314269,114.3620529594,115.3796243296,14519994,0.0,1.0,WMT,tiingo
2026-08-17,114.33,115.18,113.915,114.33,18131050,114.0577791674,114.9057553092,113.6437672864,114.0577791674,18131050,0.0,1.0,WMT,tiingo
2026-08-18,115.2,116.31,114.48,116.3,20674966,114.925707689,116.0330647683,114.2074220159,116.0230885784,20674966,0.0,1.0,WMT,tiingo
2026-08-19,114.3,116.87,113.99,115.19,34286596,114.0278505977,116.5917314029,113.7185887106,114.9157314991,34286596,0.0,1.0,WMT,tiingo
2026-08-20,103.84,107.0,102.85,106.38,83633145,103.5927559585,106.7452319681,102.6051131581,106.126708194,83633145,0.0,1.0,WMT,tiingo
2026-08-21,103.7,104.28,102.15,103.685,44454190,103.7,104.28,102.15,103.685,44454190,0.2475,1.0,WMT,tiingo
