date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-08-11,263.71,272.225,262.68,270.48,4675172,263.71,272.225,262.68,270.48,4675172,0.0,1.0,ADBE,tiingo
2026-08-12,258.75,263.26,255.1,258.45,4191713,258.75,263.26,255.1,258.45,4191713,0.0,1.0,ADBE,tiingo
2026-08-13,270.49,271.88,255.85,261.605,5201571,270.49,271.88,255.85,261.605,5201571,0.0,1.0,ADBE,tiingo
2026-08-14,264.02,273.4,261.67,273.22,2876275,264.02,273.4,261.67,273.22,2876275,0.0,1.0,ADBE,tiingo
2026-08-17,254.04,261.65,251.2001,259.9,3871095,254.04,261.65,251.2001,259.9,3871095,0.0,1.0,ADBE,tiingo
2026-08-18,263.14,267.39,258.19,259.83,4774075,263.14,267.39,258.19,259.83,4774075,0.0,1.0,ADBE,tiingo
2026-08-19,272.47,275.7999,261.67,262.19,5541782,272.47,275.7999,261.67,262.19,5541782,0.0,1.0,ADBE,tiingo
2026-08-20,272.22,274.25,269.66,272.725,2631358,272.22,274.25,269.66,272.725,2631358,0.0,1.0,ADBE,tiingo
2026-08-21,275.3,277.0995,269.915,272.37,4346427,275.3,277.0995,269.915,272.37,4346427,0.0,1.0,ADBE,tiingo
2026-08-24,276.27,279.0,273.245,275.0,3598911,276.27,279.0,273.245,275.0,3598911,0.0,1.0,ADBE,tiingo
