date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-08-11,29.4,29.655,29.19,29.3,8285120,29.4,29.655,29.19,29.3,8285120,0.0,1.0,CPRT,tiingo
2026-08-12,28.99,29.2,28.675,29.075,8444251,28.99,29.2,28.675,29.075,8444251,0.0,1.0,CPRT,tiingo
2026-08-13,29.39,29.685,28.85,29.18,8140206,29.39,29.685,28.85,29.18,8140206,0.0,1.0,CPRT,tiingo
2026-08-14,31.61,31.735,29.6,29.7,17358448,31.61,31.735,29.6,29.7,17358448,0.0,1.0,CPRT,tiingo
2026-08-17,31.7,32.15,31.28,31.33,19659248,31.7,32.15,31.28,31.33,19659248,0.0,1.0,CPRT,tiingo
2026-08-18,31.51,33.55,30.9,32.015,17667629,31.51,33.55,30.9,32.015,17667629,0.0,1.0,CPRT,tiingo
2026-08-19,33.85,33.88,31.55,31.64,13729467,33.85,33.88,31.55,31.64,13729467,0.0,1.0,CPRT,tiingo
2026-08-20,34.33,34.625,33.42,33.49,10797337,34.33,34.625,33.42,33.49,10797337,0.0,1.0,CPRT,tiingo
2026-08-21,33.8,34.6,33.775,34.48,11080417,33.8,34.6,33.775,34.48,11080417,0.0,1.0,CPRT,tiingo
2026-08-24,33.26,34.08,33.145,34.04,8497617,33.26,34.08,33.145,34.04,8497617,0.0,1.0,CPRT,tiingo
