date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-08-11,221.9,225.52,219.24,224.0,6343090,221.9,225.52,219.24,224.0,6343090,0.0,1.0,CRWD,tiingo
2026-08-12,221.78,224.95,217.89,219.93,6919387,221.78,224.95,217.89,219.93,6919387,0.0,1.0,CRWD,tiingo
2026-08-13,225.53,226.685,220.23,224.98,5822685,225.53,226.685,220.23,224.98,5822685,0.0,1.0,CRWD,tiingo
2026-08-14,216.95,227.5,216.465,226.64,6750292,216.95,227.5,216.465,226.64,6750292,0.0,1.0,CRWD,tiingo
2026-08-17,213.9,219.18,213.01,216.53,6411995,213.9,219.18,213.01,216.53,6411995,0.0,1.0,CRWD,tiingo
2026-08-18,212.92,216.055,209.07,213.0,6887302,212.92,216.055,209.07,213.0,6887302,0.0,1.0,CRWD,tiingo
2026-08-19,201.63,213.98,197.25,213.38,10751416,201.63,213.98,197.25,213.38,10751416,0.0,1.0,CRWD,tiingo
2026-08-20,190.34,200.741,189.93,197.285,8902380,190.34,200.741,189.93,197.285,8902380,0.0,1.0,CRWD,tiingo
2026-08-21,191.95,192.85,187.01,190.94,8201027,191.95,192.85,187.01,190.94,8201027,0.0,1.0,CRWD,tiingo
2026-08-24,190.68,195.4,188.43,189.52,7250971,190.68,195.4,188.43,189.52,7250971,0.0,1.0,CRWD,tiingo
