date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-08-11,52.38,52.915,52.11,52.15,9698204,52.38,52.915,52.11,52.15,9698204,0.0,1.0,FAST,tiingo
2026-08-12,52.22,52.82,51.76,52.48,7063141,52.22,52.82,51.76,52.48,7063141,0.0,1.0,FAST,tiingo
2026-08-13,51.34,52.59,51.21,52.38,7704027,51.34,52.59,51.21,52.38,7704027,0.0,1.0,FAST,tiingo
2026-08-14,51.02,51.52,50.7001,51.39,5095488,51.02,51.52,50.7001,51.39,5095488,0.0,1.0,FAST,tiingo
2026-08-17,51.23,51.535,50.71,50.93,7208605,51.23,51.535,50.71,50.93,7208605,0.0,1.0,FAST,tiingo
2026-08-18,51.27,51.78,51.23,51.72,5819526,51.27,51.78,51.23,51.72,5819526,0.0,1.0,FAST,tiingo
2026-08-19,51.44,52.05,51.23,51.38,6246083,51.44,52.05,51.23,51.38,6246083,0.0,1.0,FAST,tiingo
2026-08-20,50.66,51.36,50.38,51.3,5040743,50.66,51.36,50.38,51.3,5040743,0.0,1.0,FAST,tiingo
2026-08-21,51.26,51.46,50.6201,50.85,4752427,51.26,51.46,50.6201,50.85,4752427,0.0,1.0,FAST,tiingo
2026-08-24,51.28,52.15,51.24,51.46,5553052,51.28,52.15,51.24,51.46,5553052,0.0,1.0,FAST,tiingo
