date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-08-11,399.5,404.5099,398.18,399.48,634696,399.5,404.5099,398.18,399.48,634696,0.0,1.0,ROP,tiingo
2026-08-12,395.23,397.41,389.69,389.89,480237,395.23,397.41,389.69,389.89,480237,0.0,1.0,ROP,tiingo
2026-08-13,397.5,400.13,387.82,397.39,937670,397.5,400.13,387.82,397.39,937670,0.0,1.0,ROP,tiingo
2026-08-14,399.34,403.015,388.77,400.95,929528,399.34,403.015,388.77,400.95,929528,0.0,1.0,ROP,tiingo
2026-08-17,389.71,396.98,389.3812,393.27,764270,389.71,396.98,389.3812,393.27,764270,0.0,1.0,ROP,tiingo
2026-08-18,394.17,400.82,394.12,398.82,514158,394.17,400.82,394.12,398.82,514158,0.0,1.0,ROP,tiingo
2026-08-19,407.32,410.761,394.015,395.9,626822,407.32,410.761,394.015,395.9,626822,0.0,1.0,ROP,tiingo
2026-08-20,410.45,412.63,405.44,408.01,580575,410.45,412.63,405.44,408.01,580575,0.0,1.0,ROP,tiingo
2026-08-21,411.79,413.54,403.33,409.95,588248,411.79,413.54,403.33,409.95,588248,0.0,1.0,ROP,tiingo
2026-08-24,415.51,418.75,412.05,414.0,619315,415.51,418.75,412.05,414.0,619315,0.0,1.0,ROP,tiingo
