date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-08-17,1415.99,1448.76,1411.6,1418.01,542867,1415.99,1448.76,1411.6,1418.01,542867,0.0,1.0,MPWR,tiingo
2026-08-18,1333.18,1376.525,1303.22,1365.445,1144286,1333.18,1376.525,1303.22,1365.445,1144286,0.0,1.0,MPWR,tiingo
2026-08-19,1300.14,1335.19,1267.77,1321.12,710871,1300.14,1335.19,1267.77,1321.12,710871,0.0,1.0,MPWR,tiingo
2026-08-20,1310.6,1327.0,1295.02,1311.34,437133,1310.6,1327.0,1295.02,1311.34,437133,0.0,1.0,MPWR,tiingo
2026-08-21,1316.28,1337.7,1297.3,1321.13,529769,1316.28,1337.7,1297.3,1321.13,529769,0.0,1.0,MPWR,tiingo
2026-08-24,1285.03,1305.64,1255.56,1298.38,897888,1285.03,1305.64,1255.56,1298.38,897888,0.0,1.0,MPWR,tiingo
2026-08-25,1304.15,1322.99,1291.54,1310.055,359622,1304.15,1322.99,1291.54,1310.055,359622,0.0,1.0,MPWR,tiingo
2026-08-26,1303.88,1311.015,1284.56,1301.04,255715,1303.88,1311.015,1284.56,1301.04,255715,0.0,1.0,MPWR,tiingo
2026-08-27,1311.08,1332.0,1290.855,1319.75,459325,1311.08,1332.0,1290.855,1319.75,459325,0.0,1.0,MPWR,tiingo
2026-08-28,1256.26,1306.03,1254.01,1306.03,709349,1256.26,1306.03,1254.01,1306.03,709349,0.0,1.0,MPWR,tiingo
