date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-08-18,266.83,279.56,264.82,275.75,3755758,266.83,279.56,264.82,275.75,3755758,0.4265,1.0,CEG,tiingo
2026-08-19,274.17,274.99,267.84,268.55,2431884,274.17,274.99,267.84,268.55,2431884,0.0,1.0,CEG,tiingo
2026-08-20,272.92,277.965,271.07,273.45,2175663,272.92,277.965,271.07,273.45,2175663,0.0,1.0,CEG,tiingo
2026-08-21,272.88,277.21,270.57,275.54,2034813,272.88,277.21,270.57,275.54,2034813,0.0,1.0,CEG,tiingo
2026-08-24,273.43,275.607,269.53,271.59,2624182,273.43,275.607,269.53,271.59,2624182,0.0,1.0,CEG,tiingo
2026-08-25,278.42,279.92,272.65,274.41,2514956,278.42,279.92,272.65,274.41,2514956,0.0,1.0,CEG,tiingo
2026-08-26,279.52,285.26,278.11,278.2,1946241,279.52,285.26,278.11,278.2,1946241,0.0,1.0,CEG,tiingo
2026-08-27,282.41,283.81,279.09,280.15,1773808,282.41,283.81,279.09,280.15,1773808,0.0,1.0,CEG,tiingo
2026-08-28,276.75,284.19,275.99,281.53,1773877,276.75,284.19,275.99,281.53,1773877,0.0,1.0,CEG,tiingo
2026-08-31,274.77,279.44,274.06,274.67,2575285,274.77,279.44,274.06,274.67,2575285,0.0,1.0,CEG,tiingo
