date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-08-18,47.38,47.545,45.78,45.93,16318793,47.38,47.545,45.78,45.93,16318793,0.0,1.0,MNST,tiingo
2026-08-19,47.43,47.975,47.205,47.275,11953360,47.43,47.975,47.205,47.275,11953360,0.0,1.0,MNST,tiingo
2026-08-20,47.49,47.91,46.96,47.065,9057106,47.49,47.91,46.96,47.065,9057106,0.0,1.0,MNST,tiingo
2026-08-21,47.79,48.12,47.22,47.6,12532755,47.79,48.12,47.22,47.6,12532755,0.0,1.0,MNST,tiingo
2026-08-24,48.92,49.12,48.09,48.1,11669133,48.92,49.12,48.09,48.1,11669133,0.0,1.0,MNST,tiingo
2026-08-25,48.73,49.24,48.34,48.86,7087734,48.73,49.24,48.34,48.86,7087734,0.0,1.0,MNST,tiingo
2026-08-26,47.81,48.94,47.79,48.94,6224135,47.81,48.94,47.79,48.94,6224135,0.0,1.0,MNST,tiingo
2026-08-27,46.7,47.07,46.44,46.99,7434078,46.7,47.07,46.44,46.99,7434078,0.0,1.0,MNST,tiingo
2026-08-28,46.86,47.15,46.375,47.15,5280147,46.86,47.15,46.375,47.15,5280147,0.0,1.0,MNST,tiingo
2026-08-31,45.92,46.66,45.78,46.51,12161690,45.92,46.66,45.78,46.51,12161690,0.0,1.0,MNST,tiingo
