date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-08-18,404.41,412.85,402.425,410.8,1607317,404.41,412.85,402.425,410.8,1607317,0.0,1.0,SNPS,tiingo
2026-08-19,401.24,408.23,400.82,405.23,1359964,401.24,408.23,400.82,405.23,1359964,0.0,1.0,SNPS,tiingo
2026-08-20,397.92,401.42,394.57,399.6,1163853,397.92,401.42,394.57,399.6,1163853,0.0,1.0,SNPS,tiingo
2026-08-21,397.87,401.98,394.78,400.665,1256936,397.87,401.98,394.78,400.665,1256936,0.0,1.0,SNPS,tiingo
2026-08-24,394.51,395.99,388.11,395.2,1480056,394.51,395.99,388.11,395.2,1480056,0.0,1.0,SNPS,tiingo
2026-08-25,408.79,410.93,395.2501,396.34,2966899,408.79,410.93,395.2501,396.34,2966899,0.0,1.0,SNPS,tiingo
2026-08-26,410.0,419.6,403.54,405.1,2622450,410.0,419.6,403.54,405.1,2622450,0.0,1.0,SNPS,tiingo
2026-08-27,464.89,464.98,415.31,419.66,4073868,464.89,464.98,415.31,419.66,4073868,0.0,1.0,SNPS,tiingo
2026-08-28,442.61,462.45,440.6,461.85,2004516,442.61,462.45,440.6,461.85,2004516,0.0,1.0,SNPS,tiingo
2026-08-31,439.59,445.86,434.45,437.95,1681072,439.59,445.86,434.45,437.95,1681072,0.0,1.0,SNPS,tiingo
