date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-08-18,100.89,102.75,100.23,100.25,6223427,100.2642441172,102.1127077316,99.6083376734,99.6282136262,6223427,0.0,1.0,TRI,tiingo
2026-08-19,104.95,107.06,99.93,99.93,1374873,104.95,107.06,99.93,99.93,1374873,0.655,1.0,TRI,tiingo
2026-08-20,105.88,107.14,103.945,104.66,1639537,105.88,107.14,103.945,104.66,1639537,0.0,1.0,TRI,tiingo
2026-08-21,105.53,106.99,105.01,106.21,1487284,105.53,106.99,105.01,106.21,1487284,0.0,1.0,TRI,tiingo
2026-08-24,108.62,109.4561,105.72,106.21,1476083,108.62,109.4561,105.72,106.21,1476083,0.0,1.0,TRI,tiingo
2026-08-25,104.38,107.39,104.24,105.76,1260464,104.38,107.39,104.24,105.76,1260464,0.0,1.0,TRI,tiingo
2026-08-26,102.45,105.325,102.08,103.145,1137820,102.45,105.325,102.08,103.145,1137820,0.0,1.0,TRI,tiingo
2026-08-27,104.78,107.765,102.61,102.61,1647416,104.78,107.765,102.61,102.61,1647416,0.0,1.0,TRI,tiingo
2026-08-28,106.225,107.06,105.175,105.85,1221042,106.225,107.06,105.175,105.85,1221042,0.0,1.0,TRI,tiingo
2026-08-31,107.32,107.39,104.12,104.64,990272,107.32,107.39,104.12,104.64,990272,0.0,1.0,TRI,tiingo
