date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-08-24,207.4,207.51,204.53,205.37,1820541,207.4,207.51,204.53,205.37,1820541,0.0,1.0,CTAS,tiingo
2026-08-25,204.76,207.09,203.61,206.68,2440945,204.76,207.09,203.61,206.68,2440945,0.0,1.0,CTAS,tiingo
2026-08-26,205.78,206.77,204.6,204.88,1516477,205.78,206.77,204.6,204.88,1516477,0.0,1.0,CTAS,tiingo
2026-08-27,204.15,204.74,202.79,204.74,1282057,204.15,204.74,202.79,204.74,1282057,0.0,1.0,CTAS,tiingo
2026-08-28,204.18,205.81,204.0,205.5,1344090,204.18,205.81,204.0,205.5,1344090,0.0,1.0,CTAS,tiingo
2026-08-31,201.79,203.7,200.67,203.3,1726543,201.79,203.7,200.67,203.3,1726543,0.0,1.0,CTAS,tiingo
2026-09-01,200.59,203.61,199.66,202.89,1522645,200.59,203.61,199.66,202.89,1522645,0.0,1.0,CTAS,tiingo
2026-09-02,198.09,200.61,197.57,200.59,2173229,198.09,200.61,197.57,200.59,2173229,0.0,1.0,CTAS,tiingo
2026-09-03,201.05,201.26,198.66,198.66,1210812,201.05,201.26,198.66,198.66,1210812,0.0,1.0,CTAS,tiingo
2026-09-04,200.47,201.1,198.01,198.24,1320838,200.47,201.1,198.01,198.24,1320838,0.0,1.0,CTAS,tiingo
