date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-08-24,44.34,44.415,43.795,43.98,4871836,43.9173309124,43.9916159782,43.3775261008,43.5607625965,4871836,0.0,1.0,EXC,tiingo
2026-08-25,44.31,44.435,43.865,44.27,5181302,43.8876168861,44.0114253291,43.4468588289,43.8479981843,5181302,0.0,1.0,EXC,tiingo
2026-08-26,44.44,44.51,44.01,44.125,6181421,44.0163776668,44.0857103949,43.5904766228,43.7043803904,6181421,0.0,1.0,EXC,tiingo
2026-08-27,43.96,44.1,43.61,44.03,5294744,43.5409532456,43.6796187018,43.1942896051,43.6102859737,5294744,0.0,1.0,EXC,tiingo
2026-08-28,43.93,44.43,43.675,44.25,5471802,43.5112392192,44.0064729914,43.2586699955,43.8281888334,5471802,0.0,1.0,EXC,tiingo
2026-08-31,43.72,43.82,43.04,43.8,9488610,43.303241035,43.4022877894,42.6297231049,43.3824784385,9488610,0.0,1.0,EXC,tiingo
2026-09-01,43.83,44.23,43.555,43.83,7324248,43.4121924648,43.8083794825,43.1398138901,43.4121924648,7324248,0.0,1.0,EXC,tiingo
2026-09-02,43.97,44.065,43.22,43.66,11922118,43.550857921,43.6449523377,42.8080072628,43.2438129823,11922118,0.0,1.0,EXC,tiingo
2026-09-03,44.53,44.585,44.06,44.06,11710713,44.1055197458,44.1599954607,43.64,43.64,11710713,0.0,1.0,EXC,tiingo
2026-09-04,43.64,44.172,43.51,43.8,8370025,43.64,44.172,43.51,43.8,8370025,0.42,1.0,EXC,tiingo
