date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-08-24,490.03,491.49,485.0,488.44,2184110,488.4093629467,489.8645344054,483.3959982637,486.8246214267,2184110,0.0,1.0,LIN,tiingo
2026-08-25,487.2,490.62,485.12,489.2,1785797,485.5887223795,488.9974116869,483.5156013973,487.5821079394,1785797,0.0,1.0,LIN,tiingo
2026-08-26,490.33,494.5,488.0101,488.55,1844861,488.7083707807,492.864579673,486.3961432006,486.9342576324,1844861,0.0,1.0,LIN,tiingo
2026-08-27,485.35,486.69,481.0,484.57,1900596,483.7448407367,485.0804090618,479.409227144,482.9674203683,1900596,0.0,1.0,LIN,tiingo
2026-08-28,489.51,489.6,486.7,487.0,1240846,487.8910827012,487.9807850514,485.0903759896,485.3893838236,1240846,0.0,1.0,LIN,tiingo
2026-08-31,489.58,492.49,486.45,489.05,2109628,487.9608511958,490.8612271853,484.8412027946,487.4326040224,2109628,0.0,1.0,LIN,tiingo
2026-09-01,486.76,488.955,482.16,488.5,1641885,485.1501775564,487.3379182083,480.5653907687,486.8844229934,1641885,0.0,1.0,LIN,tiingo
2026-09-02,487.45,490.98,485.52,487.99,1154314,485.8378955745,489.3562210877,483.9142785093,486.3761096757,1154314,0.0,1.0,LIN,tiingo
2026-09-03,482.19,491.98,480.05,487.9,1829652,482.19,491.98,480.05,487.9,1829652,1.6,1.0,LIN,tiingo
2026-09-04,477.57,482.96,476.48,479.25,2273912,477.57,482.96,476.48,479.25,2273912,0.0,1.0,LIN,tiingo
