date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-08-24,830.17,844.0,784.47,823.6,3919030,830.17,844.0,784.47,823.6,3919030,0.0,1.0,LITE,tiingo
2026-08-25,885.565,887.36,841.1,858.1,3240575,885.565,887.36,841.1,858.1,3240575,0.0,1.0,LITE,tiingo
2026-08-26,939.03,947.5299,876.09,880.0,4511432,939.03,947.5299,876.09,880.0,4511432,0.0,1.0,LITE,tiingo
2026-08-27,956.14,970.32,918.0101,958.73,4127821,956.14,970.32,918.0101,958.73,4127821,0.0,1.0,LITE,tiingo
2026-08-28,895.0,942.91,893.65,941.71,3447630,895.0,942.91,893.65,941.71,3447630,0.0,1.0,LITE,tiingo
2026-08-31,914.76,918.84,886.835,894.58,3209649,914.76,918.84,886.835,894.58,3209649,0.0,1.0,LITE,tiingo
2026-09-01,868.95,909.14,854.126,901.04,3838982,868.95,909.14,854.126,901.04,3838982,0.0,1.0,LITE,tiingo
2026-09-02,870.58,887.4599,848.43,867.714,2796921,870.58,887.4599,848.43,867.714,2796921,0.0,1.0,LITE,tiingo
2026-09-03,847.37,874.0,818.89,874.0,3304999,847.37,874.0,818.89,874.0,3304999,0.0,1.0,LITE,tiingo
2026-09-04,881.255,885.83,841.04,861.385,3563409,881.255,885.83,841.04,861.385,3563409,0.0,1.0,LITE,tiingo
