date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-08-24,175.89,178.75,171.31,177.39,35115471,175.89,178.75,171.31,177.39,35115471,0.0,1.0,PLTR,tiingo
2026-08-25,172.73,179.87,172.2004,176.63,24558542,172.73,179.87,172.2004,176.63,24558542,0.0,1.0,PLTR,tiingo
2026-08-26,177.5,178.49,168.9,170.6,27924165,177.5,178.49,168.9,170.6,27924165,0.0,1.0,PLTR,tiingo
2026-08-27,185.93,186.86,178.01,178.75,40739283,185.93,186.86,178.01,178.75,40739283,0.0,1.0,PLTR,tiingo
2026-08-28,186.29,188.37,184.38,184.95,25060205,186.29,188.37,184.38,184.95,25060205,0.0,1.0,PLTR,tiingo
2026-08-31,186.38,187.94,183.79,184.495,25941184,186.38,187.94,183.79,184.495,25941184,0.0,1.0,PLTR,tiingo
2026-09-01,179.92,186.55,179.75,182.98,24567189,179.92,186.55,179.75,182.98,24567189,0.0,1.0,PLTR,tiingo
2026-09-02,169.46,177.57,165.71,176.99,39873969,169.46,177.57,165.71,176.99,39873969,0.0,1.0,PLTR,tiingo
2026-09-03,182.53,185.83,171.91,172.5,38107976,182.53,185.83,171.91,172.5,38107976,0.0,1.0,PLTR,tiingo
2026-09-04,174.33,182.19,173.67,180.01,27963048,174.33,182.19,173.67,180.01,27963048,0.0,1.0,PLTR,tiingo
