date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-09-08,84.53,86.75,84.24,86.59,8224259,84.53,86.75,84.24,86.59,8224259,0.0,1.0,DXCM,tiingo
2026-09-09,83.88,85.16,82.795,83.93,4177529,83.88,85.16,82.795,83.93,4177529,0.0,1.0,DXCM,tiingo
2026-09-10,84.51,84.815,82.29,83.27,3540992,84.51,84.815,82.29,83.27,3540992,0.0,1.0,DXCM,tiingo
2026-09-11,83.03,85.815,82.83,84.65,2547398,83.03,85.815,82.83,84.65,2547398,0.0,1.0,DXCM,tiingo
2026-09-14,84.68,84.98,83.76,83.92,2540890,84.68,84.98,83.76,83.92,2540890,0.0,1.0,DXCM,tiingo
2026-09-15,86.45,87.36,83.255,84.04,5961138,86.45,87.36,83.255,84.04,5961138,0.0,1.0,DXCM,tiingo
2026-09-16,87.34,88.79,86.05,86.05,3617180,87.34,88.79,86.05,86.05,3617180,0.0,1.0,DXCM,tiingo
2026-09-17,87.93,88.26,87.17,87.54,2823993,87.93,88.26,87.17,87.54,2823993,0.0,1.0,DXCM,tiingo
2026-09-18,89.35,89.92,87.39,87.825,14576638,89.35,89.92,87.39,87.825,14576638,0.0,1.0,DXCM,tiingo
2026-09-21,89.17,89.68,88.33,88.83,3515967,89.17,89.68,88.33,88.83,3515967,0.0,1.0,DXCM,tiingo
