date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-09-14,31.58,32.06,31.39,31.39,7429098,31.58,32.06,31.39,31.39,7429098,0.0,1.0,KDP,tiingo
2026-09-15,31.49,31.585,31.095,31.44,11933193,31.49,31.585,31.095,31.44,11933193,0.0,1.0,KDP,tiingo
2026-09-16,31.8,31.945,31.28,31.45,11156894,31.8,31.945,31.28,31.45,11156894,0.0,1.0,KDP,tiingo
2026-09-17,31.43,31.98,31.42,31.77,10778766,31.43,31.98,31.42,31.77,10778766,0.0,1.0,KDP,tiingo
2026-09-18,30.96,31.41,30.7604,31.315,22568946,30.96,31.41,30.7604,31.315,22568946,0.0,1.0,KDP,tiingo
2026-09-21,30.62,31.0,30.555,30.95,10500305,30.62,31.0,30.555,30.95,10500305,0.0,1.0,KDP,tiingo
2026-09-22,31.51,31.76,30.89,31.005,9540683,31.51,31.76,30.89,31.005,9540683,0.0,1.0,KDP,tiingo
2026-09-23,31.76,32.14,31.425,31.61,9513347,31.76,32.14,31.425,31.61,9513347,0.0,1.0,KDP,tiingo
2026-09-24,30.88,31.9377,30.805,31.93,9320207,30.88,31.9377,30.805,31.93,9320207,0.0,1.0,KDP,tiingo
2026-09-25,31.95,31.96,30.7179,30.88,8853919,31.95,31.96,30.7179,30.88,8853919,0.0,1.0,KDP,tiingo
