date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-09-14,924.03,932.21,902.6,906.03,27141901,924.03,932.21,902.6,906.03,27141901,0.0,1.0,MU,tiingo
2026-09-15,927.6,944.94,920.13,937.5,20434659,927.6,944.94,920.13,937.5,20434659,0.0,1.0,MU,tiingo
2026-09-16,926.55,941.2,917.64,934.23,20213011,926.55,941.2,917.64,934.23,20213011,0.0,1.0,MU,tiingo
2026-09-17,977.5,986.2,953.5,954.565,22091587,977.5,986.2,953.5,954.565,22091587,0.0,1.0,MU,tiingo
2026-09-18,1015.8,1016.44,977.83,984.715,35803503,1015.8,1016.44,977.83,984.715,35803503,0.0,1.0,MU,tiingo
2026-09-21,1043.96,1064.49,1030.68,1044.99,28174409,1043.96,1064.49,1030.68,1044.99,28174409,0.0,1.0,MU,tiingo
2026-09-22,1096.16,1097.25,1030.015,1032.85,29189695,1096.16,1097.25,1030.015,1032.85,29189695,0.0,1.0,MU,tiingo
2026-09-23,1071.88,1105.5,1064.25,1100.07,21572757,1071.88,1105.5,1064.25,1100.07,21572757,0.0,1.0,MU,tiingo
2026-09-24,1080.53,1081.04,1044.0,1049.75,22069916,1080.53,1081.04,1044.0,1049.75,22069916,0.0,1.0,MU,tiingo
2026-09-25,1082.28,1108.72,1073.0,1095.83,20947931,1082.28,1108.72,1073.0,1095.83,20947931,0.0,1.0,MU,tiingo
