run_date,target_date,symbol,company_name,weight,latest_date,previous_date,latest_close,previous_close,daily_return,direction,is_complete,is_fresh,is_qualified,is_target_date,included_in_recent_breadth,included_in_strict_breadth,source
2026-06-09,2026-06-08,NVDA,NVIDIA Corp,0.08317661,2026-06-08,2026-06-05,208.64,205.1,0.0172598732325695,up,True,True,True,True,True,True,tiingo
2026-06-09,2026-06-08,AAPL,Apple Inc,0.07254025,2026-06-08,2026-06-05,301.54,307.34,-0.01887160799114973,down,True,True,True,True,True,True,tiingo
2026-06-09,2026-06-08,MSFT,Microsoft Corp,0.05020625,2026-06-08,2026-06-05,411.74,416.67,-0.01183190534475731,down,True,True,True,True,True,True,tiingo
2026-06-09,2026-06-08,MU,Micron Technology Inc,0.048325560000000004,2026-06-08,2026-06-05,949.28,864.01,0.09869098737283122,up,True,True,True,True,True,True,tiingo
2026-06-09,2026-06-08,AMZN,Amazon.com Inc,0.04313407,2026-06-08,2026-06-05,245.22,246.03,-0.0032922814290939906,down,True,True,True,True,True,True,tiingo
2026-06-09,2026-06-08,AMD,Advanced Micro Devices Inc,0.036158260000000005,2026-06-08,2026-06-05,490.33,466.38,0.05135297396972427,up,True,True,True,True,True,True,tiingo
2026-06-09,2026-06-08,GOOGL,Alphabet Inc Class A,0.03467499,2026-06-08,2026-06-05,363.31,368.3069741149,-0.013567416492474837,down,True,True,True,True,True,True,tiingo
2026-06-09,2026-06-08,TSLA,Tesla Inc,0.033442690000000004,2026-06-08,2026-06-05,408.95,391.0,0.04590792838874669,up,True,True,True,True,True,True,tiingo
2026-06-09,2026-06-08,GOOG,Alphabet Inc Class C,0.03220472,2026-06-08,2026-06-05,361.17,365.5373397161,-0.01194772528434973,down,True,True,True,True,True,True,tiingo
2026-06-09,2026-06-08,AVGO,Broadcom Inc,0.03080958,2026-06-08,2026-06-05,396.6,385.73,0.02818033339382464,up,True,True,True,True,True,True,tiingo
2026-06-09,2026-06-08,META,Meta Platforms Inc,0.028292130000000002,2026-06-08,2026-06-05,585.39,593.0,-0.012833052276559842,down,True,True,True,True,True,True,tiingo
2026-06-09,2026-06-08,WMT,Walmart Inc,0.0264893,2026-06-08,2026-06-05,119.83,118.88,0.007991251682368805,up,True,True,True,True,True,True,tiingo
2026-06-09,2026-06-08,INTC,Intel Corp,0.024915660000000003,2026-06-08,2026-06-05,110.27,99.17,0.1119290107895532,up,True,True,True,True,True,True,tiingo
2026-06-09,2026-06-08,CSCO,Cisco Systems Inc,0.02218272,2026-06-08,2026-06-05,124.15,121.64,0.02063465965143041,up,True,True,True,True,True,True,tiingo
